Datum,SKU,Název,Typ změny,Nyní Kč bez DPH,Shop,Předtím Kč bez DPH,Shop předtím,Δ %,URL
2026-09-25,SH-105-STBR,ST-R7170 + BR-R7170 Di2 hydraulické páky + třmeny (pár),nové 30denní minimum,3793,kupkolo.cz,3794,kupkolo.cz,-0.1,https://www.kupkolo.cz/radici-a-brzdova-paka-shimano-105-di2-st-r7170-2x12_z119215/
2026-09-25,SH-105-RD,RD-R7150 Di2 12s,"zdražení, nový nejlevnější shop",3075,bike-components.de,2893,hupnakolo.cz,6.2,https://www.bike-components.de/en/Shimano/105-Di2-Rear-Derailleur-Shadow-RD-R7150-12-speed-p88619/
2026-09-25,SH-105-CN,CN-M7100 řetěz 12s,nové 30denní minimum,355,hupnakolo.cz,355,hupnakolo.cz,-0.1,https://www.hupnakolo.cz/shimano-retez-slx-cn-m7100-12rychl-116cl--s-rychlospojkou-box-20-ks/
2026-09-25,SH-ULT-RD,RD-R8150 Di2 12s,"pokles ceny, nový nejlevnější shop",4915,hupnakolo.cz,5122,bike-components.de,-4.1,https://www.hupnakolo.cz/shimano-prehazovacka-ultegra-di2-rd-r8150-12-rychl--bal/
2026-09-25,SH-ULT-FC-PM,FC-R8100-P kliky s wattmetrem,"pokles ceny, nový nejlevnější shop",430,bike-discount.de,17742,starbike.com,-97.6,https://www.bike-discount.de/de/hope-adapter-h-pm-zu-pm-vorne-183
2026-09-25,SH-ULT-SET-PM,Shimano Ultegra Di2 R8100 kompletní sada s FC-R8100-P,"zdražení, nový nejlevnější shop",44388,starbike.com,34628,bike-discount.de,28.1,https://www.starbike.com/en/shimano-ultegra-di2-r8100-2x12-speed-powermeter-flatmount-groupset-electric/
2026-09-25,SH-DA-FD,FD-R9250 Di2,"zdražení, nový nejlevnější shop",5741,bike-discount.de,5272,kupkolo.cz,8.8,https://www.bike-discount.de/de/shimano-dura-ace-di2-fd-r9250-2x12-fach-umwerfer
2026-09-25,SH-DA-FC-PM,FC-R9200-P kliky s wattmetrem,"pokles ceny, nový nejlevnější shop",430,bike-discount.de,18015,hupnakolo.cz,-97.6,https://www.bike-discount.de/de/hope-adapter-h-pm-zu-pm-vorne-183
2026-09-25,SH-X-RT-CL800,RT-CL800 kotouč 160 mm Center Lock (Ultegra/105),nové 30denní minimum,760,hupnakolo.cz,760,hupnakolo.cz,-0.1,https://www.hupnakolo.cz/brzdovy-kotouc-shimano-rt-cl800-160mm-center-lock--ice-technologies--v-krabicce/
2026-09-25,SH-X-RT-CL900,RT-CL900 kotouč 160 mm Center Lock (Dura-Ace),"pokles ceny, nové 30denní minimum",982,hupnakolo.cz,1113,hupnakolo.cz,-11.9,https://www.hupnakolo.cz/shimano-brzd-kotouc-ostatni-rt-cl900-center-lock-160-mm-pro-ice-tech-lock-ring--interni-/
2026-09-25,SR-RED-SET,SRAM Red AXS E1 (2024) kompletní sada 2x12 disc bez wattmetru,pokles ceny,56654,starbike.com,58885,starbike.com,-3.9,https://www.starbike.com/en/sram-red-axs-road-groupset-1-12-speed-hydraulic-disc-brake-flatmount/
