Datum,SKU,Shop,Stav,Název v shopu,Cena v shopu,Měna,Kč bez DPH,€ bez DPH,€ s DPH,DPH,Dostupnost,Zdroj,Poznámka,URL
2026-09-20,SH-105-STBR,starbike.com,OK,Shimano 105 Di2 ST-R7170 shift- and brake dual control lever,208.9,EUR,4273,175.55,208.9,19 %,skladem,jsonld,ověřit variantu,https://www.starbike.com/en/shimano-105-di2-st-r7170-shift-and-brake-dual-control-lever/
2026-09-20,SH-105-RD,starbike.com,nenalezeno,,,,,,,19 %,?,,,
2026-09-20,SH-105-FD,starbike.com,OK,Shimano 105 Di2 FD-R7150-F front derailleur braze-on,111.9,EUR,2289,94.03,111.9,19 %,skladem,jsonld,,https://www.starbike.com/en/shimano-105-di2-fd-r7150-f-front-derailleur-braze-on/
2026-09-20,SH-105-FC,starbike.com,OK,Shimano 105 FC-R7100 crankset 12-speed Hollowtech black,136.9,EUR,2800,115.04,136.9,19 %,skladem,jsonld,ověřit variantu,https://www.starbike.com/en/shimano-105-fc-r7100-crankset-12-speed-hollowtech-black/
2026-09-20,SH-105-CS,starbike.com,nenalezeno,,,,,,,19 %,?,,,
2026-09-20,SH-105-CS2,starbike.com,nenalezeno,,,,,,,19 %,?,,,
2026-09-20,SH-105-CN,starbike.com,OK,Shimano CN-M7100 12-speed chain,18.3,EUR,374,15.38,18.3,19 %,skladem,jsonld,,https://www.starbike.com/en/shimano-cn-m7100-12-speed-chain/
2026-09-20,SH-105-SET,starbike.com,OK,Shimano 105 Di2 R7170 2x12-speed Flatmount groupset electric,1120.9,EUR,22926,941.93,1120.9,19 %,skladem,jsonld,,https://www.starbike.com/en/shimano-105-di2-r7170-2x12-speed-flatmount-groupset-electric/
2026-09-20,SH-ULT-STBR,starbike.com,OK,Shimano BR-R8170/ST-R8170 disc brake I-Spec EV excl. adaptor Resin,368.9,EUR,7545,310.0,368.9,19 %,skladem,jsonld,,https://www.starbike.com/en/shimano-br-r8170-st-r8170-disc-brake-i-spec-ev-excl.-adaptor-resin/
2026-09-20,SH-ULT-RD,starbike.com,OK,Shimano Ultegra RD-R8150 Di2 12-speed rear derailleur black,334.9,EUR,6850,281.43,334.9,19 %,skladem,jsonld,,https://www.starbike.com/en/shimano-ultegra-rd-r8150-di2-12-speed-rear-derailleur-black/
2026-09-20,SH-ULT-FD,starbike.com,OK,Shimano Ultegra FD-R8150 Di2 front derailleur 2/12-speed braze-on 50-54T,185.9,EUR,3802,156.22,185.9,19 %,skladem,jsonld,,https://www.starbike.com/en/shimano-ultegra-fd-r8150-di2-front-derailleur-212-speed-braze-on-50-54t/
2026-09-20,SH-ULT-FC,starbike.com,OK,Shimano Ultegra FC-R8100 crankset 12-speed Hollowtech anthracite,203.89,EUR,4170,171.34,203.89,19 %,skladem,jsonld,ověřit variantu,https://www.starbike.com/en/shimano-ultegra-fc-r8100-crankset-12-speed-hollowtech-anthracite/
2026-09-20,SH-ULT-FC-PM,starbike.com,OK,Shimano Ultegra FC-R8100-P 2x12-speed powermeter crankset,865.9,EUR,17710,727.65,865.9,19 %,skladem,jsonld,ověřit variantu,https://www.starbike.com/en/shimano-ultegra-fc-r8100-p-2x12-speed-powermeter-crankset/
2026-09-20,SH-ULT-CS,starbike.com,nenalezeno,,,,,,,19 %,?,,,
2026-09-20,SH-ULT-CN,starbike.com,OK,Shimano XT CN-M8100 12-speed chain,23.93,EUR,489,20.11,23.93,19 %,skladem,jsonld,,https://www.starbike.com/en/shimano-xt-cn-m8100-12-speed-chain/
2026-09-20,SH-ULT-SET,starbike.com,OK,Shimano Ultegra Di2 R8100 2x12-speed Flatmount groupset electric,1510.9,EUR,30902,1269.66,1510.9,19 %,skladem,jsonld,,https://www.starbike.com/en/shimano-ultegra-di2-r8100-2x12-speed-flatmount-groupset-electric/
2026-09-20,SH-ULT-SET-PM,starbike.com,OK,Shimano Ultegra Di2 R8100 2x12-speed Powermeter Flatmount groupset electric,2164.9,EUR,44278,1819.24,2164.9,19 %,skladem,jsonld,,https://www.starbike.com/en/shimano-ultegra-di2-r8100-2x12-speed-powermeter-flatmount-groupset-electric/
2026-09-20,SH-DA-STBR,starbike.com,OK,Shimano Dura-Ace BR-R9270 Hydraulic Disc Brake / ST-R9270 Di2 STI Shift/Brake Lever,514.9,EUR,10531,432.69,514.9,19 %,skladem,jsonld,,https://www.starbike.com/en/shimano-dura-ace-st-r9270-di2-12-speed-sti-shift-and-brake-lever-hydraulic/
2026-09-20,SH-DA-RD,starbike.com,OK,Shimano Dura-Ace Di2 RD-R9250 rear derailleur 12-speed black,694.9,EUR,14213,583.95,694.9,19 %,skladem,jsonld,,https://www.starbike.com/en/shimano-dura-ace-di2-rd-r9250-rear-derailleur-12-speed-black/
