SKU,Název,Min € bez DPH,Min € s DPH,Shop,Země,Cena v shopu,Měna,Dostupnost,Δ % vs. minulý běh,Δ % vs. 30d min,Název v shopu,URL,Datum,Poznámka
SH-105-STBR,ST-R7170 + BR-R7170 Di2 hydraulické páky + třmeny (pár),157.09,190.08,kupkolo.cz,CZ,4590.0,CZK,skladem,0.0,153.1,"Řadicí a brzdová páka Shimano 105 Di2, ST-R7170, 2x12",https://www.kupkolo.cz/radici-a-brzdova-paka-shimano-105-di2-st-r7170-2x12_z119215/,2026-08-29,ověřit variantu
SH-105-RD,RD-R7150 Di2 12s,126.04,149.99,bike-components.de,DE,149.99,EUR,skladem,0.0,15085.5,105 Di2 Rear Derailleur Shadow RD-R7150 12-speed,https://www.bike-components.de/en/Shimano/105-Di2-Rear-Derailleur-Shadow-RD-R7150-12-speed-p88619/,2026-08-29,
SH-105-FD,FD-R7150 Di2,54.61,64.99,bike-components.de,DE,64.99,EUR,vyprodáno,0.0,49.4,105 Di2 Umwerfer FD-R7150 2-/12-fach,https://www.bike-components.de/de/Shimano/105-Di2-Umwerfer-FD-R7150-2-12-fach-p88620/,2026-08-29,vyprodáno
SH-105-FC,FC-R7100 kliky 2x12 (50-34),60.46,71.95,rosebikes.de,DE,71.95,EUR,vyprodáno,0.0,35.1,105 FC-R7100 Hollowtech II Kurbel 2 x 12-fach (50/34),https://www.rosebikes.de/p/shimano-105-fc-r7100-hollowtech-ii-kurbel-2-x-12-fach-5034-2701936,2026-08-29,vyprodáno
SH-105-CS,CS-R7100 12s (11-34),41.97,49.95,rosebikes.de,DE,49.95,EUR,vyprodáno,0.0,0.0,105 CS-R7100 12-fach Zahnkranz,https://www.rosebikes.de/p/shimano-105-cs-r7100-12-fach-zahnkranz-2713281,2026-08-29,ověřit variantu; vyprodáno
SH-105-CS2,CS-HG710-12 12s (levnější alternativa),47.02,56.9,hupnakolo.cz,CZ,1374.0,CZK,?,0.0,0.0,Kazeta SHIMANO CS-HG710 12rychlostní | 11-36 zubů,https://www.hupnakolo.cz/shimano-kazeta-105-cs-hg710-12-12-rychl--11-36-z--bal/,2026-08-29,ověřit variantu
SH-105-CN,CN-M7100 řetěz 12s,14.68,17.77,hupnakolo.cz,CZ,429.0,CZK,?,0.0,145.5,"SHIMANO SLX CN-M7100 12 rychlostní řetěz, 116 článků, baleno v sáčků - Hupnakolo",https://www.hupnakolo.cz/shimano-retez-slx-cn-m7100-12rychl-116cl--s-rychlospojkou-box-20-ks/,2026-08-29,
SH-105-SET,Shimano 105 Di2 R7100 kompletní sada 2x12 disc,671.43,799.0,bike-discount.de,DE,799.0,EUR,skladem,0.0,299.6,105 Di2 R7170 2x12-fach Gruppe Disc TOP-DEAL,https://www.bike-discount.de/de/shimano-105-di2-r7170-2x12-fach-gruppe-disc-top-deal,2026-08-29,
SH-ULT-STBR,ST-R8170 + BR-R8170 Di2 hydraulické páky + třmeny (pár),234.41,278.95,rosebikes.de,DE,278.95,EUR,skladem,0.0,0.0,Ultegra Di2 ST-R8170 STI Brems-/Schalthebelkombination mit BR-R8170 Scheibenbremse J-Kit Direct,https://www.rosebikes.de/p/shimano-ultegra-di2-st-r8170-sti-brems-schalthebelkombination-mit-br-r8170-scheibenbremse-j-kit-direct-2700381,2026-08-29,
SH-ULT-RD,RD-R8150 Di2 12s,1.25,1.49,bike-components.de,DE,1.49,EUR,skladem,0.0,0.0,Adjustment Gauge for RD-R9250 / RD-R8150,https://www.bike-components.de/en/Shimano/Adjustment-Gauge-for-RD-R9250-RD-R8150-p92737/,2026-08-29,
SH-ULT-FD,FD-R8150 Di2,134.45,159.99,bike-discount.de,DE,159.99,EUR,skladem,0.0,0.0,ULTEGRA Di2 FD-R8150 2x12-fach Umwerfer,https://www.bike-discount.de/de/shimano-ultegra-di2-fd-r8150-2x12-fach-umwerfer,2026-08-29,
SH-ULT-FC,FC-R8100 kliky 2x12 (50-34),17.25,20.87,mantel.com,NL,156.0,DKK,skladem,0.0,0.0,Shimano Ultegra FC-R8100 Klinge,https://www.mantel.com/dk/shimano-ultegra-fc-r8100-klinge,2026-08-29,"jiná měna než čekáme (DKK místo EUR) – ověř, zda cena obsahuje DPH; ověřit variantu"
SH-ULT-FC-PM,FC-R8100-P kliky s wattmetrem,2.16,2.61,hupnakolo.cz,CZ,63.0,CZK,?,0.0,0.0,Adaptér přední brzdy IS-PM 203 mm - Hupnakolo,https://www.hupnakolo.cz/adapter-predni-brzdy-is-pm-203-mm/,2026-08-29,ověřit variantu
SH-ULT-CS,CS-R8100 12s (11-30),109.24,129.99,bike-components.de,DE,129.99,EUR,skladem,0.0,0.0,Ultegra Cassette CS-R8100 + Chain CN-M8101 12-speed Wear Set,https://www.bike-components.de/en/Shimano/Ultegra-Cassette-CS-R8100-Chain-CN-M8101-12-speed-Wear-Set-p213611/,2026-08-29,ověřit variantu
SH-ULT-CN,CN-M8100 řetěz 12s,20.11,23.93,starbike.com,DE,23.93,EUR,?,0.0,0.0,Shimano XT CN-M8100 12-speed chain,https://www.starbike.com/en/shimano-xt-cn-m8100-12-speed-chain/,2026-08-29,
SH-ULT-SET,Shimano Ultegra Di2 R8100 kompletní sada 2x12 disc,1015.7,1229.0,mantel.com,NL,1229.0,EUR,skladem,0.0,0.0,Shimano Ultegra R8170 Di2 Disc Groupset,https://www.mantel.com/en/shimano-ultegra-r8170-di2-disc-groupset,2026-08-29,
