sku_id,brand,series,generation,category,name,unit,part_number,search,must_match,must_not_match,prefer,notes
SH-105-STBR,Shimano,105 Di2,R7100,Páky + třmeny (pár),ST-R7170 + BR-R7170 Di2 hydraulické páky + třmeny (pár),pár,,ST-R7170 BR-R7170|ST-R7170,ST[- ]?R7170,"groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade;hood|griffgummi|gumy|gumov|rubber|cover|kappe|abdeck|kryt|blip|clamp|schelle|objímk|lever blade|bleed|entlüft|odvzdušn|\bpad|belag|destičk|olive|insert|šroub|sroub|screw|schraube|bolt|nádob|reservoir;^(?!.*(\bset\b|satz|sada|\bpair\b|paar|\bpár\b|2 ?(ks|pcs|stk)|2er|front ?[+&/] ?rear|vorne.{0,12}hinten|přední.{0,12}zadní|left.{0,12}right|links.{0,12}rechts)).*(-[LR]\b|\blinks\b|\brechts\b|vorderrad|hinterrad|\bleft\b|\bright\b|\bpřední\b|\bzadní\b|\bvorne\b|\bhinten\b)","BR[- ]?R7170;\bset\b|satz|sada|pair|paar|pár|front.{0,12}rear|vorne.{0,12}hinten|přední.{0,12}zadní|links.{0,12}rechts|left.{0,12}right|levá.{0,12}pravá|2 ?pcs|2er",Shopy prodávají po stranách i v páru – při 'ověřit variantu' zkontroluj URL v data/urls.json.
SH-105-RD,Shimano,105 Di2,R7100,Přehazovačka,RD-R7150 Di2 12s,ks,,RD-R7150,RD[- ]?R7150,groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|cage|käfig|kolečk|pulley|röllchen|r[äa]dchen|rollensatz|schaltrolle|leitrolle|spannrolle|rolna|jockey|kladk|spring|feder|plate\b|platte|hanger|patka|screw|schraube|bolt|adapter|cover|kappe|abdeck|kryt|protector|chránič|kabelf(?:ue|[üu])hrung|zugf(?:ue|[üu])hrung|schaltzug|cable guide|vedení kabelu|stay cable|guide cable|guida del cavo|guia de cabl|achseinheit|\baxle\b|\basse\b|\baxe\b|\beje\b|unidad de eje|schaltwerk[- ]?halter|derailleur bracket|support de|soporte|attacco|pully|carrucole|poleas|poulies|ersatzteil|spare part|náhradní díl|gauge|lehre|měrk,,
SH-105-FD,Shimano,105 Di2,R7100,Přesmykač,FD-R7150 Di2,ks,,FD-R7150,FD[- ]?R7150,groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|adapter|clamp|schelle|objímk|wedge|keil|support plate|cover|kappe|abdeck|kryt|screw|schraube|bolt|kabelführung|kabelfuehrung|cable guide|vedení kabelu,,
SH-105-FC,Shimano,105 Di2,R7100,Kliky,FC-R7100 kliky 2x12 (50-34),ks,,FC-R7100,FC[- ]?R7100,FC[- ]?R7100-P\b|power|watt|leistung|quarq|\bpm\b|groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|kettenblatt|chainring|převodník|plateau|corona|plato|kettingblad|cover|kappe|abdeck|kryt|bolt|schraube|crank ?arm|kurbelarm|\bklika\b|pedal|spider|spindle|axle|achse|\bosa\b|bottom bracket|innenlager|středov|klinge|blad,"50[-/x ]34|172[.,]?5",Cena je stejná napříč délkami/převodníky; 'prefer' jen hlídá variantu.
SH-105-CS,Shimano,105 Di2,R7100,Kazeta,CS-R7100 12s (11-34),ks,,CS-R7100,CS[- ]?R7100,groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|lockring|verschlussring|pojistn|spacer|distanz|adapter|sprocket\b|ritzel\b|pastorek|spider,11[-/]34,
SH-105-CS2,Shimano,105 Di2,R7100,Kazeta,CS-HG710-12 12s (levnější alternativa),ks,,CS-HG710-12,CS[- ]?HG710[- ]?12,groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|lockring|verschlussring|pojistn|spacer|distanz|adapter|sprocket\b|ritzel\b|pastorek|spider,11[-/]34,
SH-105-CN,Shimano,105 Di2,R7100,Řetěz,CN-M7100 řetěz 12s,ks,,CN-M7100,CN[- ]?M7100;chain|kette|řetěz|ketting|cha[iî]ne|cadena|catena,tool|nýtovač|nietwerkzeug|kettenwerkzeug,,
SH-105-SET,Shimano,105 Di2,R7100,Kompletní sada,Shimano 105 Di2 R7100 kompletní sada 2x12 disc,sada,,Shimano 105 Di2 R7100 groupset|Shimano 105 Di2 Gruppe|Shimano 105 Di2 sada|Shimano 105 Di2,\b105\b;Di2;groupset|group set|gruppe|sada|groep|groupe|grupo|gruppo|(?<!-)\bkit\b,upgrade|mini|\b1x\b|1-fach|single|xplr|\b13\b|13-speed|13-fach|13s\b|FC[- ]?R7100-?P\b|power|watt|leistung|quarq|\bpm\b|4iiii|stages|power2max|rotor inpower|sigeyi|magene|xcadey;pulley|pushrod|\bbolt|schraube|šroub|feder|spring|pružin|service|servis|caliper|bremssattel|třmen|lever kit|hebel[- ]?kit|shift/brake|mounting|montage|bleed|entlüft|odvzdušn|spare|ersatz|náhradní,R7100|R7170|2x12|2x|disc|scheib|kotouč,
SH-ULT-STBR,Shimano,Ultegra Di2,R8100,Páky + třmeny (pár),ST-R8170 + BR-R8170 Di2 hydraulické páky + třmeny (pár),pár,,ST-R8170 BR-R8170|ST-R8170,ST[- ]?R8170,"groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade;hood|griffgummi|gumy|gumov|rubber|cover|kappe|abdeck|kryt|blip|clamp|schelle|objímk|lever blade|bleed|entlüft|odvzdušn|\bpad|belag|destičk|olive|insert|šroub|sroub|screw|schraube|bolt|nádob|reservoir;^(?!.*(\bset\b|satz|sada|\bpair\b|paar|\bpár\b|2 ?(ks|pcs|stk)|2er|front ?[+&/] ?rear|vorne.{0,12}hinten|přední.{0,12}zadní|left.{0,12}right|links.{0,12}rechts)).*(-[LR]\b|\blinks\b|\brechts\b|vorderrad|hinterrad|\bleft\b|\bright\b|\bpřední\b|\bzadní\b|\bvorne\b|\bhinten\b)","BR[- ]?R8170;\bset\b|satz|sada|pair|paar|pár|front.{0,12}rear|vorne.{0,12}hinten|přední.{0,12}zadní|links.{0,12}rechts|left.{0,12}right|levá.{0,12}pravá|2 ?pcs|2er",Shopy prodávají po stranách i v páru – při 'ověřit variantu' zkontroluj URL v data/urls.json.
SH-ULT-RD,Shimano,Ultegra Di2,R8100,Přehazovačka,RD-R8150 Di2 12s,ks,,RD-R8150,RD[- ]?R8150,groupset|group set|gruppe\b|sada komponent|groep|groupe|grupo|gruppo|upgrade|cage|käfig|kolečk|pulley|röllchen|r[äa]dchen|rollensatz|schaltrolle|leitrolle|spannrolle|rolna|jockey|kladk|spring|feder|plate\b|platte|hanger|patka|screw|schraube|bolt|adapter|cover|kappe|abdeck|kryt|protector|chránič|kabelf(?:ue|[üu])hrung|zugf(?:ue|[üu])hrung|schaltzug|cable guide|vedení kabelu|stay cable|guide cable|guida del cavo|guia de cabl|achseinheit|\baxle\b|\basse\b|\baxe\b|\beje\b|unidad de eje|schaltwerk[- ]?halter|derailleur bracket|support de|soporte|attacco|pully|carrucole|poleas|poulies|ersatzteil|spare part|náhradní díl|gauge|lehre|měrk,,
